business_postal_code,inspection_score,inspection_type,violation_description,risk_category
94109,96.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94121,71.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94116,78.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94122,70.0,Routine - Unscheduled,Other moderate risk violation,Moderate Risk
94107,92.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94107,,Structural Inspection,,
94109,76.0,Routine - Unscheduled,Improper cooling methods,High Risk
94115,81.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94122,80.0,Routine - Unscheduled,Improper cooling methods,High Risk
94123,,Complaint,,
94124,100.0,Routine - Unscheduled,,
94102,90.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94118,,Reinspection/Followup,,
94103,90.0,Routine - Unscheduled,Improper food storage,Low Risk
94105,72.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94122,83.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94123,87.0,Routine - Unscheduled,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
94124,88.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94124,77.0,Routine - Unscheduled,Improper reheating of food,High Risk
94103,,Reinspection/Followup,,
94110,72.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94109,80.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94109,68.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94114,100.0,Routine - Unscheduled,,
94114,87.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94118,65.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94112,83.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94114,83.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94122,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94122,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94133,92.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94111,87.0,Routine - Unscheduled,Contaminated or adulterated food,High Risk
94109,90.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94102,90.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94105,88.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94112,76.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94111,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94102,,Reinspection/Followup,,
94133,,New Ownership,,
94103,60.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94118,71.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94102,79.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94114,,Reinspection/Followup,,
94102,,Reinspection/Followup,,
94118,91.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94103,96.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94103,75.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94110,84.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94112,88.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94104,75.0,Routine - Unscheduled,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
94110,,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94131,94.0,Routine - Unscheduled,No thermometers or uncalibrated thermometers,Low Risk
94133,,Reinspection/Followup,,
94123,,New Construction,,
94110,,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94110,,Reinspection/Followup,,
94118,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94110,74.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94109,93.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94109,76.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94134,,Reinspection/Followup,,
94111,84.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94111,86.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94108,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94110,81.0,Routine - Unscheduled,No thermometers or uncalibrated thermometers,Low Risk
94105,74.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94109,82.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94110,89.0,Routine - Unscheduled,Improper cooling methods,High Risk
94112,,Reinspection/Followup,,
94103,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94109,81.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94103,,Reinspection/Followup,,
94115,88.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94104,80.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94110,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94109,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94104,68.0,Routine - Unscheduled,Improper food storage,Low Risk
94109,96.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94115,90.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94102,,Reinspection/Followup,Low risk vermin infestation,Low Risk
94114,86.0,Routine - Unscheduled,Improper food storage,Low Risk
94121,83.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94132,98.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94133,100.0,Routine - Unscheduled,,
94133,90.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94133,90.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94122,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94107,98.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94109,81.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94109,,Reinspection/Followup,,
94133,75.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94105,90.0,Routine - Unscheduled,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
94102,,Reinspection/Followup,,
94122,61.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94103,,New Ownership,,
94110,86.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94133,,Reinspection/Followup,,
94134,91.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94110,84.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94124,84.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94110,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94133,92.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk
94110,77.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94109,92.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94133,90.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94102,,Reinspection/Followup,,
94115,91.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94114,,Reinspection/Followup,,
94121,94.0,Routine - Unscheduled,Improper food storage,Low Risk
94103,90.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94103,,Reinspection/Followup,,
94107,83.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94103,76.0,Routine - Unscheduled,Improper reheating of food,High Risk
94105,81.0,Routine - Unscheduled,Improper cooling methods,High Risk
94105,76.0,Routine - Unscheduled,No thermometers or uncalibrated thermometers,Low Risk
94121,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94117,83.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94103,81.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94110,77.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94114,,Reinspection/Followup,,
94105,,Reinspection/Followup,,
94121,92.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94118,63.0,Routine - Unscheduled,No thermometers or uncalibrated thermometers,Low Risk
94133,90.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94133,96.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94116,75.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94115,82.0,Routine - Unscheduled,Inadequate ventilation or lighting,Low Risk
94104,85.0,Routine - Unscheduled,Improper food storage,Low Risk
94103,88.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94111,86.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94133,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94110,84.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94108,85.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94133,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94109,,Complaint Reinspection/Followup,,
94103,75.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94118,,Complaint,,
94103,94.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94107,94.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94111,86.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94103,77.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94115,87.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94127,84.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94123,,Reinspection/Followup,,
94102,94.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94110,80.0,Routine - Unscheduled,Employee eating or smoking,Moderate Risk
94102,,Reinspection/Followup,,
94112,,Reinspection/Followup,,
94108,94.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94115,79.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94109,100.0,Routine - Unscheduled,,
94122,88.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94121,90.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94109,,Reinspection/Followup,,
94107,83.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94109,74.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94103,90.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94115,100.0,Routine - Unscheduled,,
94102,,Reinspection/Followup,,
94118,79.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94103,91.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94122,92.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94122,86.0,Routine - Unscheduled,Improper food storage,Low Risk
94103,90.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94114,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94110,,Reinspection/Followup,,
94133,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94118,75.0,Routine - Unscheduled,Employee eating or smoking,Moderate Risk
94117,,Reinspection/Followup,,
94131,91.0,Routine - Unscheduled,Improper reheating of food,High Risk
94110,98.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94102,82.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94105,,Reinspection/Followup,,
94109,85.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94110,,Reinspection/Followup,,
94133,85.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94133,,Non-inspection site visit,,
94117,83.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94123,87.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94123,87.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk
94133,,Reinspection/Followup,,
94158,94.0,Routine - Unscheduled,No plan review or Building Permit,Low Risk
94110,,Non-inspection site visit,,
94115,,Reinspection/Followup,,
94105,90.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94109,88.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94121,90.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94116,86.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94133,81.0,Routine - Unscheduled,Contaminated or adulterated food,High Risk
94118,92.0,Routine - Unscheduled,Improper food storage,Low Risk
94118,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94112,,Complaint,,
94114,,Reinspection/Followup,,
94102,,Reinspection/Followup,,
94114,100.0,Routine - Unscheduled,,
94107,,Reinspection/Followup,,
94121,85.0,Routine - Unscheduled,Improper cooling methods,High Risk
94102,,Reinspection/Followup,,
94110,81.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94133,82.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94122,100.0,Routine - Unscheduled,,
94122,87.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94108,96.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94116,,Reinspection/Followup,,
94121,83.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94133,90.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94115,,Reinspection/Followup,,
94103,73.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94109,67.0,Routine - Unscheduled,Contaminated or adulterated food,High Risk
94132,100.0,Routine - Unscheduled,,
94112,,Reinspection/Followup,,
94109,94.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94112,85.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94110,86.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94122,79.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94103,92.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94121,85.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94110,,Reinspection/Followup,,
94133,79.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94103,,Reinspection/Followup,,
94110,88.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94122,80.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94102,89.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94103,,Reinspection/Followup,,
94123,,Reinspection/Followup,,
94133,,Reinspection/Followup,,
94111,86.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94122,,Reinspection/Followup,,
94121,74.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94115,96.0,Routine - Unscheduled,Improper food storage,Low Risk
94110,90.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94109,,Complaint,,
94102,100.0,Routine - Unscheduled,,
94115,92.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94109,87.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94110,88.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94109,,Complaint,,
94118,,Reinspection/Followup,,
94110,83.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94107,88.0,Routine - Unscheduled,Inadequate procedures or records for time as a public health control,Moderate Risk
94133,,Reinspection/Followup,,
94110,84.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94109,94.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94102,82.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94133,,Non-inspection site visit,,
94115,90.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94107,85.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94127,81.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94111,83.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94115,96.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94108,80.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94115,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94105,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94102,,New Ownership,,
94114,92.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94107,90.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94121,78.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94108,90.0,Routine - Unscheduled,Improper food storage,Low Risk
94110,75.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94118,85.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94110,82.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94109,,Reinspection/Followup,,
94114,,Reinspection/Followup,,
94110,96.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94110,,Reinspection/Followup,,
94118,,Reinspection/Followup,,
94133,83.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk
94109,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94110,96.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94127,88.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94123,,Complaint,,
94122,,New Ownership,,
94133,90.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94107,91.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94105,70.0,Routine - Unscheduled,Improper food storage,Low Risk
94118,94.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94117,86.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94109,85.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94122,,Routine - Unscheduled,High risk food holding temperature,High Risk
94118,81.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94110,,Reinspection/Followup,,
94108,92.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94102,69.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94107,87.0,Routine - Unscheduled,Inadequate dressing rooms or improper storage of personal items,Low Risk
94111,70.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94110,67.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk
94102,,Complaint,,
94107,74.0,Routine - Unscheduled,High risk vermin infestation,High Risk
94112,86.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94109,88.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94108,87.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94112,,Reinspection/Followup,,
94133,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94112,86.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94107,85.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94111,84.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94107,100.0,Routine - Unscheduled,,
94105,78.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94122,92.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94123,85.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94123,90.0,Routine - Unscheduled,,
94133,,Reinspection/Followup,,
94117,86.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94121,89.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94110,,Reinspection/Followup,,
94118,,New Construction,,
94110,89.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94110,86.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94103,88.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94102,94.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94109,89.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94111,88.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94118,90.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94108,64.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94109,,Reinspection/Followup,,
94109,94.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94133,80.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94133,87.0,Routine - Unscheduled,Improper food storage,Low Risk
94112,96.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94110,85.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94127,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94102,81.0,Routine - Unscheduled,No hot water or running water,High Risk
94133,78.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94117,,Reinspection/Followup,,
94122,,Reinspection/Followup,,
94122,100.0,Routine - Unscheduled,,
94110,98.0,Routine - Unscheduled,,
94104,83.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94110,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94109,77.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
94118,92.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94110,,Reinspection/Followup,,
94102,71.0,Routine - Unscheduled,No thermometers or uncalibrated thermometers,Low Risk
94111,87.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94133,88.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94110,93.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94104,74.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94122,81.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94108,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94102,,Reinspection/Followup,,
94103,,Reinspection/Followup,,
94111,85.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94133,79.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94105,78.0,Routine - Unscheduled,No hot water or running water,High Risk
94115,,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk
94114,98.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94123,90.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94111,87.0,Routine - Unscheduled,Improper cooling methods,High Risk
94109,67.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94110,84.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk
94107,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94110,78.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94134,76.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94109,96.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94115,72.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94124,92.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk
94133,100.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94111,83.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94123,,Reinspection/Followup,,
94121,91.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94124,60.0,Routine - Unscheduled,Improper food storage,Low Risk
94110,,Reinspection/Followup,,
94110,89.0,Routine - Unscheduled,Contaminated or adulterated food,High Risk
94127,92.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94118,86.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94105,86.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk
94107,,Reinspection/Followup,,
94112,,Non-inspection site visit,,
94110,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94107,,Reinspection/Followup,,
94115,98.0,Routine - Unscheduled,Inadequate ventilation or lighting,Low Risk
94131,,Reinspection/Followup,Inadequate sewage or wastewater disposal,Moderate Risk
94133,86.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94133,96.0,Routine - Unscheduled,Improper food storage,Low Risk
94109,98.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94110,100.0,Routine - Unscheduled,,
94108,,Reinspection/Followup,,
94103,81.0,Routine - Unscheduled,High risk food holding temperature,High Risk
94103,84.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94102,,Reinspection/Followup,,
94118,100.0,Routine - Unscheduled,,
94117,84.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk
94121,83.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94104,88.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94105,84.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94124,96.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk
94105,83.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94108,75.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94111,85.0,Routine - Unscheduled,Inadequate warewashing facilities or equipment,Low Risk
94114,98.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk
94121,73.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
94117,90.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
94105,78.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk
94108,83.0,Routine - Unscheduled,Improper cooling methods,High Risk
94107,,Complaint,,
94110,,Reinspection/Followup,,
94105,100.0,Routine - Unscheduled,,
94102,86.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94121,80.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94121,85.0,Routine - Unscheduled,Improper cooling methods,High Risk
94123,81.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk
94114,100.0,Routine - Unscheduled,,
94124,60.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk
94121,85.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk
94108,70.0,Routine - Unscheduled,Improper cooling methods,High Risk
94109,86.0,Routine - Unscheduled,Improper food storage,Low Risk
94122,88.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk
94102,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk
94109,96.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94114,96.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk
94111,79.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk
